#Place a list of target domains or URLs below, one per line.
#https://chicagotribune.com
#http://latimes.com/sports
#washingtonpost.com
#http://nytimes.com/index.html
#Put this in your /etc/hosts file for local testing
#127.0.0.1    localhostgazette.com
#this doesn't resolve, should skip
https://www.coingecko.com,coingecko
https://www.coindesk.com/,coindesk
https://www.cnsnews.com,cnsnews
https://www.cnbcafrica.com,abndigital1
https://www.clicanoo.re,clicanoore
https://www.channelstv.com/,channelstelevision
https://www.centercutcook.com,centercutcook
https://www.causeur.fr,causeurfr
https://www.carscoops.com/,carscoop
https://www.businessmirror.com.ph/,businessmirror
https://www.businessdailyafrica.com/,businessdaily
https://www.bugetul.ro/,bugetul
https://www.brooklyneagle.com/,brooklyneagle
https://www.brigitte.de/,brigitte-de
https://www.breitbart.com,breitbartproduction
https://www.brasil247.com,brasil247
https://www.boweryboogie.com/,boweryboogie
https://www.blogpreston.co.uk,blogpreston
https://www.blenderguru.com,blenderguru
https://www.blahbidyblah.com/,blah-bidy-blog
https://www.blackenterprise.com/,blackenterprise
https://www.bjpenn.com,bjpenndotcom
https://www.bitchyf.it,bitchyfblog
https://www.bijlibachao.com,bijli-bachao
https://www.bigboytravel.com/,bigboytravel
https://www.bebeautiful.in,bebeautiful-in
https://www.bachspin.com,bmdb
https://www.azulweb.net,azulwebnet
https://www.autocentre.ua,autocentre
https://www.autoblog.gr,autobloggr
https://www.attackmagazine.com,attack-magazine
https://www.artribune.com,www-artribune-com
https://www.archdaily.mx/,archdailymex
https://www.archdaily.com.br/,archdailybrasil
https://www.archdaily.com,archdailycom
https://www.anticipazioni.tv,httpwwwanticipazionitv
https://www.androidplanet.nl/,androidplanetnl
https://www.androidheadlines.com,androidheadlines
https://www.androidgalaxys.net,androidgalaxysnet
https://www.altsantiri.gr,altsantiri
https://www.alternativenation.net,alternativenation
https://www.allnewspipeline.com/,allnewspipeline
https://www.allas.se,allasse
https://www.algemeiner.com,algemeiner-1
https://www.akispetretzikis.com,petretzikis
https://www.againstallgrain.com,againstallgrain
https://www.adaptnetwork.com/,adaptnetwork
https://www.aboluowang.com,aboluowang
https://www.OurAwesomePlanet.com,ourawesomeplanet
https://www.DIYpete.com,diyprojectswithpete
https://www.BookSeriesInOrder.com,bookseriesinorder
https://www.67hailhail.com,67-hail-hail
https://www.25CineFrames.com/,25cineframes
https://worldisraelnews.com,httpworldisraelnewscom
https://windowsten.ru,windowsten
https://westhawaiitoday.com,westhawaiitoday-new
https://wearechange.org/,wearechange
https://wccftech.com,wccftech
https://vocesabia.com/,voce-sabia
https://verilymag.com,verilymag
https://utroruse.com/,utrobg
https://universal.org/bispo-macedo,bispomacedopt
https://ultimatemotorcycling.com,ultimatemotorcyclingcom
https://ukranews.com,ukranewscom
https://tucsonfoodie.com,tucsonfoodie
https://truemoneysaver.com,truecouponingcom
https://trucoslondres.com/,trucoslondres
https://townhall.com/,townhallcom
https://torf.mmo-fashion.com/,torfashion
https://topesdegama.com,topes-de-gama
https://timesofmalta.com/,timesofmalta
https://thevietnamwar.info/,thevietnamwar
https://theskincareedit.com,beautyeditor
https://theshaderoom.com/,the-shade-room
https://thescriptlab.com,thescriptlab
https://therealstrategy.com,therealstrategy
https://therealdeal.com/la/,therealdeallosangeles
https://theguardiansofdemocracy.com/,theguardiansofdemocracy
https://theeagleonline.com.ng/,theeagleonlineng
https://theaviationist.com/,theaviationist
https://testbook.com,testbook
https://telugu.asianetnews.com/,http-telugu-asianetnews-com
https://teksteshqip.com/,teksteshqip
https://tecnoblog.net/,tecnoblognet
https://techpp.com,techpp
https://stupidDOPE.com,stupiddopes
https://stoppapressarna.se/,stoppapressarna
https://startbootstrap.com,startbootstrap
https://srbin.info,srbininfo
https://spectator.org/,spectator-org
https://somoskudasai.com,somos-kudasai
https://solowrestling.mundodeportivo.com,swrestling
https://signalscv.com/,signalscv
https://shippuden.tv,shippudentv
https://sfist.com,sfist
https://seword.com,seword2
https://scotch.io/,scotchwebdevelopment
https://scallywagandvagabond.com/,scallywagandvagabondcom
https://sayanythingblog.com,ndsayanything
https://russianmachineneverbreaks.com,rmnb
https://royalcentral.co.uk/,royalcentral
https://rockstarintel.com,rockstarintel
https://riddles.guru,riddleministry
https://rewayat.club/,rewayat-club
https://reneweconomy.com.au/,reneweconomy
https://rajah.com,rajahcom
https://puzzlersworld.com/,puzzlersworld
https://ptzgovorit.ru,gptz
https://psxbrasil.com.br,psx-brasil
https://print-kids.net/,printkids
https://poultrykeeper.com,poultrykeeper
https://poetsandquants.com/,poetsandquants
https://pistolsfiringblog.com,pistolsfiringblog
https://photographyisnotacrime.com/,pinac13
https://philosophia-perennis.com/,https-philosophia-perennis-com
https://petrimazepa.com,petrimazepa
https://petpop.cc,petpop-cc
https://pcucgame.com,pcucgame
https://patratora.gr,patratora-gr
https://parisunited.fr,paris-united
https://overwatch.pl,overwatch
https://otomeobsessed.com/,otomeobsessed
https://openrussia.org,https-openrussia-org
https://okdiario.com/,okdiario
https://odia.ig.com.br,jornal-o-dia
https://observatoriodosfamosos.bol.uol.com.br,babadosdosfamosos
https://observatoriodatelevisao.bol.uol.com.br,observatriodateleviso
https://notwork.co.il,cursorinfowebmart
https://noticias.band.uol.com.br/,noticias-band
https://nokiapoweruser.com/,npu
https://niebalaganka.pl/,niebalaganka
https://nflpickwatch.com,nflpickwatch
https://newsthessaloniki.gr,https-newsthessaloniki-gr
https://newstapa.org,newstapa
https://news.maxabout.com/,maxaboutnews
https://news.grabien.com/,grabiennews
https://networthpost.com,richestnews
https://motorshow.com.br,motorshowsite
https://mobilesyrup.com/,mobilesyrup
https://minilua.com,minilua
https://minecraft-server-list.com,mcservers
https://milo.yiannopoulos.net,milo-yiannopoulos
https://mikrobitti.fi,mikrobitti
https://mfor.hu,innobotics
https://methodshop.com,methodshop
https://memurunyeri.com,memurunyericom
https://mein-mmo.de/,meinmmo
https://megameh.com,megameh
https://medrussia.org,medrussia
https://med.news.am/,newsammedicine
https://matchtv.ru,matchtv2017
https://mangashiro.co/,mangashiro-net
https://makemac.com,mm-gramedia-com
https://maisminas.org,www-maisminas-org-2
https://macmagazine.uol.com.br/,macmagazinecombr
https://luxyhair.com,luxy-hair
https://lostcoastoutpost.com/,lostcoastpost
https://lostcoastoutpost.com/,lostcoastoutpost-registered
https://lolsnaps.com/,hoodiedog
https://liveuamap.com,liveuamapcom
https://listverse.com,listverse
https://lingojam.com/,lingojam
https://leadership.ng/,leadership-nigeria-newspaper
https://lasvegassun.com,las-vegas-sun
https://l2central.info/,l2central
https://kuruc.info,kuruc
https://knightnofansub.site,knight-no-fansub
https://jornaleconomico.sapo.pt/,o-jornal-economico
https://jabgibson.com,jabgibson
https://itc.ua,itcua
https://it.motor1.com,omniauto1
https://it-here.ru,ithere
https://isokolka.eu/,isokolkaeu
https://inpaok.com,inpaok
https://infoautonomos.eleconomista.es,infoautonomos
https://inbusinessnews.reporter.com.cy/,inbusiness
https://igg-games.com/,igg-games
https://hvg.hu,hvg
https://hromadske.radio,hromadskeradio
https://hindi.indiawaterportal.org,india-water-portal-hindi
https://healthyhempoil.com/,healthyho
https://healthyhappylife.com,lunchboxbunch
https://headfonics.com,headfonics
https://grizly.com,grizlylivewild
https://gradecalculator.mes.fm,grademes
https://getintopc.com,getintopcofficial
https://gematsu.com/,gematsu
https://geekologie.com,geekologie
https://gearnuke.com/,gearnuke
https://gamesite.zoznam.sk/,gamesitesk
https://gamelytic.com,gamelytic
https://game-solver.com/,gamesolver
https://gakure.org/,gakure
https://forwardprogressives.com/,forwardprogressives
https://fortnitepolska.pl,fortnitepl
https://fortniteinsider.com,https-fortniteinsider-com
https://forthemommas.com,forthemommas
https://fontech.startitup.sk/,fonyzcinysk
https://finofilipino.org,finofilipino-org
https://filminebandim.com/,filminebandimcom
https://ffxiv.gamerescape.com,geffxiv
https://fashionista.com/,fashionista
https://famososnaweb.com,famososnaweb
https://fameolousdaily.com,www-fameolousdaily-com
https://en-volve.com,en-volve
https://empireherald.com,empireherald
https://elmira.es,mirajerez
https://elchapuzasinformatico.com/,elchapuzasinformatico
https://elandroidelibre.elespanol.com/,ealredeslibre
https://echo24.cz,echo24
https://easyspeak.ru,easyspeak
https://dubrovackidnevnik.rtl.hr/,dubrovackidnevnik
https://dolartoday.com,dolartoday
https://dogtime.com,dogtime
https://document.no,documentno
https://docs.com,dddocscom
https://diymusician.cdbaby.com,diymusician
https://dicocitations.lemonde.fr,dicocitations-2
https://designyoutrust.com/,designyoutrust
https://depedkto12.blogspot.com,depedkto12
https://denverpost.com,dfm-denverpost
https://dailyhive.com,dailyhive
https://dailygalaxy.com,dg2-1
https://cyclestyle.net/,cycle-1
https://cursorinfo.co.il,http-test6-hundredbrains-com
https://cubanet.org,cubanetnoticias
https://cricfrog.info,cricfrog-com
https://courses.nichespin.com,nichespin
https://cointelegraph.com,wwwcointelegraphcom
https://cleantechnica.com,im-cleantechnica
https://clarkdeals.com,clarkdeals
https://clark.com,clarkhoward
https://cinepop.com.br,cinepopcinema
https://cenapop.uol.com.br,cenapop
https://canaltech.com.br,canaltech
https://businesstoday.co.ke,https-businesstoday-co-ke
https://businesstech.co.za,businesstechnology
https://briefly.ru,briefly-ru
https://bomboradyo.com,bomboradyo
https://blogs.tribune.com.pk/,tribunepkblogs
https://bloghorror.com,bloghorror
https://blogdoiphone.com/,blogdoiphone
https://blog.hootsuite.com/,hootsuite-blog
https://blazepress.com,blazepress14
https://blacklistednews.com/,blacklistednews
https://bikeadvice.in/,bikeadvice
https://bigbangupdates.com/,bigbangupdates
https://betanews.com,betanews
https://bdnews24.com/,bdnews24en
https://bandori.party/,bangdream
https://autos.maxabout.com/bikes/,bikes-maxabout
https://autonetmagz.com,autonetmagz
https://authoritynutrition.com,aunutr
https://attackofthefanboy.com,attackofthefanboy
https://asumsi.co,asumsi-co
https://astv.co/,bnatcrazy
https://areajugones.sport.es,areajugones
https://apkpure.com,apkpure
https://antikor.com.ua/,antikor
https://antiguaobserver.com,antiguaobserver
https://anime1.me/,anime1tk
https://androidcommunity.com,androidcom
https://allhiphop.com,allhiphop
https://alamosanews.com,alamosa-news
https://adrenaline.uol.com.br/,adrenalinecombr
https://SgxNifty.org,sgxnifty
https://7littlewordsdailypuzzle.blogspot.com,dailypuzzle
https://411mania.com/,411mania
https://100percentfedup.com,100percent
http://zoom.cnews.ru,zoomcnews
http://zennie62blog.com,zennie62com
http://zeldainformer.com,zeldainformer
http://zeenews.india.com/marathi,24taas
http://yuyaoficial.com,website-yuya
http://yucatan.com.mx/,yucatan
http://yourepeat.com,yourepeat
http://yourdailyjournal.com/,richmondcountydailyjournal
http://youngmoney.com/,youngmoneycom
http://yogajournal.ru,yogalive
http://yogainternational.com/,yogaintl
http://yogabycandace.com/,yogabycandacecandace
http://yeuconnit.com,yeuconnit
http://x1.com.ua,x1-com-ua
http://www2.gibson.com,gibsonguitars
http://www2.gibson.com,httpwww2gibsoncom
http://www.zone-numerique.com,zonenumerique
http://www.zonacero.com,zonaceronoticias
http://www.zoella.co.uk,zoella
http://www.zeri.info,zri
http://www.zemtv.com,zemtv
http://www.zeldadungeon.net/,zeldadungeon
http://www.zdoggmd.com,zdoggmd
http://www.zaobao.com/,zaobao-live
http://www.zagat.com/,zagat
http://www.zabasearch.com,zabasearch
http://www.yourtribute.com/,yourtribute
http://www.yourerie.com/,yourerie
http://www.yourdictionary.com/,yourdictionaryltk
http://www.your4state.com,your4statenew
http://www.younews.in/,younews
http://www.yerelfutbol.com,yerelfutbol
http://www.yarn2spin.com,yarn2spin
http://www.xronos.gr/,xronos
http://www.xperiablog.net/,xperiablog
http://www.xclusiveszone.net/,xclusiveszone
http://www.wyomingnews.com/,wyomingnews
http://www.wymt.com,wymtnews
http://www.wxxv25.com,wxxv
http://www.wweek.com/,willametteweek
http://www.wuxiaworld.com,wuxiaworldco
http://www.wtop.com/,wtop
http://www.wthitv.com/,wthitv
http://www.wsvn.com/,wsvn
http://www.wsaz.com/,wsaz
http://www.wrestlingnews.co,wrestlingnewsco
http://www.wpxbox.com/,wpxbox
http://www.womensrunninguk.co.uk,womensrunninguk
http://www.wndu.com/,wndu
http://www.wjcl.com/,wjcl
http://www.wittyfeed.com/,wittyfeeds
http://www.witn.com/,witn
http://www.wilx.com/,wilx
http://www.wiat.com/,cbs42
http://www.wheels.ca,wheelsca
http://www.whdh.com/,7newsboston
http://www.weertdegekste.nl/,weertdegekst
http://www.weau.com/,weau
http://www.wdtn.com/,wdtn2
http://www.wdef.com,wdef12
http://www.wbrz.com,wbrz
http://www.wbay.com/,wbay-1
http://www.watertowndailytimes.com,watertowndailytimes
http://www.washingtontimes.com,washtimes
http://www.washingtonsblog.com/,washingtons
http://www.washingtonmonthly.com/,washingtonmonthly
http://www.washingtonblade.com,washingtonblade
http://www.walkthroughindia.com/,walkthroughindia
http://www.waitingfornextyear.com,wfny
http://www.wafl.com.au/,wafl
http://www.vitalvegas.com/,vitalvegas
http://www.vita.gr/,vitagr
